ServerName,IP,PING,DNS,SSH
Sun,10.0.0.2,FAIL,FAIL,FAIL
Rhea,81.142.39.106,FAIL,FAIL,FAIL
Styx,10.0.3.2,FAIL,FAIL,FAIL
Norfolk,10.0.0.105,FAIL,FAIL,FAIL
Jupiter,10.0.0.104,FAIL,FAIL,FAIL
Galatea,10.0.0.36,FAIL,FAIL,FAIL
Proteus,10.0.0.39,FAIL,FAIL,FAIL
Sao,10.0.0.37,FAIL,FAIL,FAIL
